,Id,time,Count
6724,374,2021-01-23 05:00:00.000,1
6725,374,2021-01-23 05:00:00.000,1
6726,374,2021-01-23 02:00:00.000,1
6727,374,2021-01-23 02:00:00.000,1
6728,374,2021-01-23 02:00:00.000,1
6729,374,2021-01-23 02:00:00.000,1
6730,374,2021-01-23 02:00:00.000,1
6731,374,2021-01-23 02:00:00.000,1
6732,374,2021-01-23 02:00:00.000,2
6733,374,2021-01-23 02:00:00.000,1
6734,374,2021-01-23 02:00:00.000,1
6735,374,2021-01-23 02:00:00.000,2
6927,374,2021-01-21 02:00:00.000,1
6928,374,2021-01-21 10:00:00.000,1
6929,374,2021-01-21 05:00:00.000,2
6930,374,2021-01-21 02:00:00.000,1
6931,374,2021-01-21 10:00:00.000,1
6932,374,2021-01-21 05:00:00.000,1
6933,374,2021-01-21 02:00:00.000,1
6934,374,2021-01-21 05:00:00.000,1
6935,374,2021-01-21 02:00:00.000,1
6936,374,2021-01-21 05:00:00.000,1
6937,374,2021-01-21 02:00:00.000,1
6938,374,2021-01-21 05:00:00.000,1
6939,374,2021-01-21 02:00:00.000,1
6940,374,2021-01-21 05:00:00.000,1
6941,374,2021-01-21 02:00:00.000,1
6942,374,2021-01-21 05:00:00.000,2
6943,374,2021-01-21 02:00:00.000,1
6944,374,2021-01-21 05:00:00.000,2
6945,374,2021-01-21 05:00:00.000,2
6946,374,2021-01-21 02:00:00.000,1
6947,374,2021-01-21 05:00:00.000,2
6948,374,2021-01-21 02:00:00.000,1
6949,374,2021-01-21 05:00:00.000,1
6950,374,2021-01-21 02:00:00.000,2
6951,374,2021-01-21 02:00:00.000,2
6952,374,2021-01-21 02:00:00.000,2
6953,374,2021-01-21 02:00:00.000,2
6954,374,2021-01-21 02:00:00.000,2
6955,374,2021-01-21 02:00:00.000,2
6956,374,2021-01-21 02:00:00.000,2
6957,374,2021-01-21 02:00:00.000,2
6958,374,2021-01-21 02:00:00.000,2
6959,374,2021-01-21 02:00:00.000,2
6960,374,2021-01-21 02:00:00.000,2
6961,374,2021-01-21 02:00:00.000,2
6962,374,2021-01-21 02:00:00.000,2
